Timestamp,Gender,Height,Weight,DOB,Age,Sun_Sign,CGPA,Rate_Programming,PL,Sim_Course,Focus,DS_DA,Mean,Median,Sleep_time,sleep_duration,prefer_maths,Engg_Choice,course_instructor,physical_activity,0
08-06-2018 11:58,Female,5'3,74,7/30/1999,19,Aquarius,8.29,3,C++,No,Data,No,6,8,11:00:00 PM,5,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 11:59,Male,176,62,06-04-1999,19,Gemini,8.27,4,C,No,Data,May be,6,9,1:00:00 AM,6.5,No,Yes,Doesn't matter,Once in a week,
08-06-2018 11:59,Male,176,62,06-04-1999,19,Gemini,8.27,4,C,No,Data,May be,6,9,1:00:00 AM,6.5,No,Yes,Doesn't matter,Once in a week,
08-06-2018 11:59,Female,145,60,2/21/2000,18,Don't Know,9.21,3,Python,No,Data,No,6,9,11:00:00 AM,6,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 11:59,Male,185,56,8/15/1999,19,Leo,8.46,4,C,No,Data,No,6,8,11:30:00 PM,8,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 12:00,Male,170,79,6/21/1999,19,Cancer,9.7,4,C,No,Data,No,6,8,1:30:00 AM,5,No,Yes,Female,On daily basis,
08-06-2018 12:00,Male,168,58,06-03-1999,19,Don't Know,7.46,2,C,No,Data,No,6,8.5,12:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 12:00,Female,156,63,10/25/1998,19,Scorpio,9.42,3,C,Yes,Science,No,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 12:00,Female,158,65,10-12-1999,18,Libra,9.17,3,C,No,Science,No,6,8,1:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 12:00,Male,180.34,60,07-10-1999,19,Cancer,8.25,4,C,No,Data,No,6,8,12:30:00 AM,7,,Yes,Doesn't matter,On daily basis,
08-06-2018 12:00,Female,150,51,4/13/2000,18,Cancer,6.5,2,C,No,Data,May be,9,8,11:00:00 PM,06-Jul,Yes,Doesn't matter,Doesn't matter,Not so often,
08-06-2018 12:00,Male,165.1,64,09-10-1999,18,Virgo,8.75,4,Python,Yes,Data,No,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,Not so often,
08-06-2018 12:00,Male,193,69,1/20/2018,18,Gemini,7.25,3,C,Yes,Data,May be,15,8,10:00:00 PM,8,No,Doesn't matter,Doesn't matter,Never,
08-06-2018 12:01,Male,183,57,09-06-1999,18,Virgo,7.94,3,Python,Yes,Data,No,6,8,12:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 12:01,Male,175,49,12/23/1998,19,Capricorn,8.62,3,C,No,Data,May be,6,9,12:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 12:01,Male,175,70,01-08-1999,19,Capricorn,7.23,3,Python,No,Data,Yes,15,8,1:00:00 AM,05-Jun,Yes,Not at all,Doesn't matter,On daily basis,
08-06-2018 12:01,Female,156,40,11/25/1999,18,Sagittarius,8.75,3,C,No,Data,May be,6,8,10:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
